"id","created_at","name","has_test","alternate_url"
"112761354","2024-12-09T12:40:52+0300","Junior NLP  LLM Data Scientist (блок ""Сеть Продаж"")",false,"https://hh.ru/vacancy/112761354"
"112325803","2024-12-02T12:37:00+0300","Data Scientist / ML-инженер (Big Data) в Зеленограде",false,"https://hh.ru/vacancy/112325803"
"112608820","2024-12-05T14:49:58+0300","Data Scientist",false,"https://hh.ru/vacancy/112608820"
"111990761","2024-11-27T19:52:44+0300","Data Scientist/Analyst",false,"https://hh.ru/vacancy/111990761"
"112770506","2024-12-09T14:40:00+0300","Junior Data Scientist",false,"https://hh.ru/vacancy/112770506"
"112683607","2024-12-06T10:30:55+0300","Data Scientist  Маркетплейс  Контент и товары",false,"https://hh.ru/vacancy/112683607"
"112699335","2024-12-06T13:28:43+0300","Data Scientist",false,"https://hh.ru/vacancy/112699335"
"112503500","2024-12-04T12:01:04+0300","Data Scientist (розничный бизнес)",false,"https://hh.ru/vacancy/112503500"
"110208014","2024-12-06T10:31:52+0300","Data Analyst / Data Scientist (Junior/Junior+)",false,"https://hh.ru/vacancy/110208014"
"111745193","2024-12-10T11:13:21+0300","Data Scientist",false,"https://hh.ru/vacancy/111745193"
"108785097","2024-12-09T11:49:59+0300","Data Scientist / Математик-программист",false,"https://hh.ru/vacancy/108785097"
"111528693","2024-12-04T20:11:33+0300","Data Scientist/Analyst",false,"https://hh.ru/vacancy/111528693"
"112251192","2024-12-01T07:53:03+0300","Data Scientist/ML Engineer",false,"https://hh.ru/vacancy/112251192"
"112695789","2024-12-06T12:32:09+0300","Data Scientist (Computer Vision)",false,"https://hh.ru/vacancy/112695789"
"112715507","2024-12-06T18:44:52+0300","Senior Data Scientist",false,"https://hh.ru/vacancy/112715507"
"108836383","2024-12-05T10:31:52+0300","Data Scientist (Управление координации стратегических проектов по фондированию и лояльности)",false,"https://hh.ru/vacancy/108836383"
"112715370","2024-12-06T18:33:46+0300","Middle Data Scientist",false,"https://hh.ru/vacancy/112715370"
"112347392","2024-12-02T16:08:05+0300","Data Scientist (Прогнозирование спроса и динамическое ценообразование Ритейл)",true,"https://hh.ru/vacancy/112347392"
"111591659","2024-11-22T13:51:27+0300","ML Engineer/Data Scientist",false,"https://hh.ru/vacancy/111591659"
"105927931","2024-11-25T10:43:00+0300","Data scientists",false,"https://hh.ru/vacancy/105927931"
